tigal,tech,Tech pt,Description en,Descrição pt,Proximus,Photo URL,photo,review,Money,C-EdTech,C-Google,C-2015,Telecom
,Enernet,Enernet,"The “internet for energy”, where power generators and sensors are connected in a dedicated network in order to maximize output and efficiency.",A “internet da energia” conecta geradores de energia e sensores em uma rede dedicada para maximizar resultados e eficiência.,,,ok,ok,,,,,
,Enhanced organs,Orgãos Avançados,Engineered replacement organs for humans that perform better than their natural counterparts. Examples include artificial red blood cells and super-livers.,Orgãos humanos para reposição desenhados para um desempenho melhor que os natuais. Exemplo incluem células vermelhas artificiais e super-figados. ,,http://i.telegraph.co.uk/multimedia/archive/02630/heart-doppel_2630407b.jpg,ok,ok,,,,,
,Enzyme-engineered Photosynthesis,,"Feeding the world’s growing population requieres breakthrough solutions towards food production efficiency. For decades, scientists have seen room for improvement in the photosynthesis process. Through the usage of enzymes found in natures, like Rubisco, scientist are trying to boost photosynthesis up to 60%, also reducing the need of fertilizers and improving land usage.",,,,,,,,,,
,Equipment telematics,Equipamentos Telemáticos,Allows mechanical devices such as tractors to warn mechanics that a failure is likely to occur soon. Intra-tractor communication can be used as a rudimentary “farm swarm” platform.,"Permite que dispositivos mecânicos, como tratores, sejam alertados quando é provável que ocorra uma falha em breve. A comunicação intra-trator pode ser utilizada como uma plataforma ""enxame"" rudimentar.",,https://trello-attachments.s3.amazonaws.com/5446bff87c1eb0602b451205/599x400/5f7feea9a43249c5c6c787ff730dd2f2/shutterstock_89340988_web.jpg,ok,ok,,,,,
,Ethernet,,Ethernet is a family of computer networking technologies for local area (LAN) and larger networks.,,ok,,,,,,,,ok
,Evacuated tube transport,Transporte De Tubo Evacuado,Transports cargo and passengers in vacuum tubes at speeds up to 8.000 km/h.,Transporta cargas e passageiros em tubos de vácuo em velocidades de até 8.000 km/h. ,,,ok,ok,,,,,
,Eyewear-embedded screens,Óculos Com Telas Embutidas,Miniaturized kind of HUD embedded in the user's eyewear.,HUD (telas em miniatura) embutidas nos óculos do usuário.,,https://www.dropbox.com/s/42s8k8xszn1l5ds/Eyewear-embedded%20screens.jpg?dl=0,ok,ok,,ok,,,?
,First-generation smart grid,Primeira Geração De Rede Inteligente,Electrical meters that record consumption of electric energy in real time while communicating the information back to the utility for monitoring and billing purposes. Can be used for remote load-balancing such as disabling non-essential devices at peak usage.,Registra o consumo de energia em tempo real e transmite os dados para monitoração e faturamento. Pode ser usada para controle de carga de energia – desativando dispositivos não essenciais em determinados horários.,ok,,ok,ok,,,,,ok
,Fitness tracker,,"Monitors and tracks fitness-related metrics such as distance walked or run, calorie consumption, and in some cases heartbeat and quality of sleep.",,ok,,,,,,,,ok
,Flexible screens,Telas Flexíveis,Display devices which can be rolled up or folded.,Telas de dispositivos que podem ser enrolados e dobrados.,,https://farm6.staticflickr.com/5502/11222958754_1074f9c3f0_z.jpg,ok,ok,,ok,,,
,Flipped classroom,Sala de aula do avesso,"Form of blended learning in which students learn content online by watching video lectures, usually at home, and homework is done in class with teachers and students discussing and solving questions.","Forma de aprendizagem combinada, em que os alunos aprendem o conteúdo online assistindo aulas em vídeo, geralmente em casa, e a lição de casa é feita em sala de aula com professores e alunos discutindo e resolvendo questões.",,http://i.bnet.com/blogs/vidyo-brings-science-to-the-classroom.png,,,,ok,,,
,Footfall energy harvesting,Passos Como Energia,"It's a technique that produces more energy when more people travel across the energy-producing materials, it's a particularly elegant solution to matching supply with demand.","É uma técnica que capta energia de movimentos humano comuns, como andar ou correr. Já que essa técnica fabrica mais energia quanto mais pessoas passam pelos materiais captores/produtores, se trata de uma solução inteligente para relacionar demanda com oferta.",,https://trello-attachments.s3.amazonaws.com/542ab88049c0b94e3aa81f2e/980x551/eeec240dca82ea5955f089c4a631b75a/st_omer_2413-4_lr.jpg,ok,ok,,,1,,
,Fractional ownership,,"Fractional ownership is a method in which several unrelated parties can share in, and mitigate the risk of, ownership of a high-value tangible asset",,,,ok,,,,,,
,Frugal social networks,Redes Sociais Frugais,Information that quickly self destruct. Can improve the privacy of digital community and leave people freer to be spontaneous.,Informações que rapidamente se auto destroem. Podem melhorar a privacidade de uma comunidade digital e deixar as pessoas mais livres para serem expontâneas.,,https://www.dropbox.com/s/sk5vubscddqzo8k/Frugal%20Social%20Networks.jpg?dl=1,ok,ok,,ok,,,
,Fuel cells,Células De Combustível,"Unlike batteries, fuel cells require a constant source of fuel and oxygen to run, but they can produce electricity continually for as long as these inputs are supplied. They inherently displace the need for natural gas turbines, and are ideally used for stationary power generation or large passenger vehicles such as buses (especially at energy-dense future iterations of the technology).","Diferentemente de baterias, as células de combustível requerem uma constante fonte de combustível e oxigênio para funcionar, mas podem produzir eletricidade continuamente pelo tempo em que forem abastecidas. Elas substituem a necessidade de turbinas de gás natural e são idealmente usadas para geração estacionária de energia ou veículos com muitos passageiros.",,,ok,ok,,,,,
,Full-body haptic bands,,"Haptics, a tactile feedback technology that recreates the sense of touch, is gaining momentum powered by the challenges of improving sensibility and precision, specially in surgery systems where these aspects are crucial. Different approaches are being developed like the usage of 3-D cameras to enable doctors to perform delicate operations remotely and the application of advanced algorithms for robotic motion and artificial skin. More advanced challenges are being analyzed like the relationship between visual and tactile aid in situations when vision alone would not suffice.",,,https://trello-attachments.s3.amazonaws.com/5446c729fa9e9283e3e4c44b/2048x1122/e7294df0a399cc61a9523638c78d008b/jpeg.jpg,,,,,,,
,Game Assessment,Jogos como avaliação,"Adaptive games and apps isolate skills and iterate contextualized instructional sequences, creating precise curricula tailored to the needs, strengths, and challenges of the individual learner. In addition, by cross referencing the data of all students using the system, these technologies can also continually monitor overall effectiveness in a comparative way.","Jogos e aplicativos isolam habilidades e mostram seqüências de instruções contextualizadas, criando currículos mais precisos adaptados às necessidades do aluno. Além disso, ao cruzar os dados de todos os alunos que utilizam o sistema, essas tecnologias também pode monitorar continuamente a eficácia geral de forma comparativa.",,http://www.amplify.com/assets/made/assets/images/tablet-hexagons_828_414.png,,,,ok,,,
,Game-Based Learning,,"Game play that has defined learning outcomes. Generally, it's designed to balance subject matter with gameplay and the ability of the player to retain and apply said subject matter to the real world.",,ok,-,,,,ok,,,ok
,Gamification,Gamification,Gamification uses an empathy-based approach in non-game contexts to engage users in solving problems.,Usa uma abordagem baseada na empatia em contextos fora do universo de jogo para envolver usuários na solução de problemas.,ok,,ok,,,ok,,,
,Gaze tracking,Rastreamento Do Olhar,Looks for signs of disinterest—signs that may indicate you've lost focus.,"Software que procura sinais de desinteresse, os quais podem indicar perda de foco na tarefa.",,http://i.ytimg.com/vi/2q9DarPET0o/maxresdefault.jpg,ok,ok,,,,,
,Gene therapy,Terapia Genética,"The insertion, alteration, or removal of genes within an individual’s cells and biological tissues to treat disease.","Inserção, alteração ou remoção de genes das células de um indivíduo para tratamento de doenças.",,http://curiosidades.batanga.com/sites/curiosidades.batanga.com/files/Se-pueden-patentar-los-genes-3.jpg,ok,ok,,ok,,,
,General-purpose mini PCs,Mini Pcs De Uso Geral,"Low-cost open hardware PC that can run either Android or Linux, with an Arduino-compatible board embedded. It's a powerful prototyping tool for software development and design.","Mini PC de baixo custo e open hardware que pode rodar Android ou Linux, com um board anexo compatível com Arduino. É uma ferramenta poderosa para prototipação e desenvolvimento de softwares e design.  ",,http://cdni.wired.co.uk/1240x826/d_f/edison.jpg,,,,ok,,,
,Genetic Editing,Edição Genética,"It allows changes of genetic code in embryos, enabling the modification of genetic traits to predict disease and other characteristics (Eye color, hair, etc...).","Permite a alteração de código genético em embriões. Possibilitando a alteração de traços genéticos para prever doenças e outras características (Cor dos olhos, cabelo, etc…).",,,ok,ok,,,,,
,Genetically designed food,Alimentos Geneticamente Desenhados,"The creation of entirely new strains of food animals and plants in order to better address biological and physiological needs. A departure from genetically modified food, genetically designed food would be engineered from the ground up.",A criação de linhagens totalmente novas de alimentos e plantas a fim de solucionar necessidades biológicas e fisiológicas. A diferença principal entre alimentos geneticamente projetados e alimentos geneticamente modificados é que os primeiros são construídos a partir do zero.,,http://livinggreenmag.com/wp-content/uploads/2012/07/kiwi-orange.jpg,ok,ok,,,,,
,Genome Editing,Edição De Genoma,The ability to create primates with intentional mutations could provide powerful new ways to study complex and genetically baffling brain disorders.,"A criação de primatas com mutações intencionais. Isso poderá fornecer, por exemplo, novas maneiras poderosas de estudar doenças genéticas complexas.",,,ok,ok,,ok,,,
,Gesture controlled wearables,Tecnologia Vestivel Controlada Por Gestos,"On your wrist, on a necklace or key chain, gesture wearables could allow users to access different applications of devices and control what could be Internet of Things.",,,https://trello-attachments.s3.amazonaws.com/5425ba196a7ae2890d4fbb3d/943x577/e9ba51854653c30a5a92747c09dbaca9/Screenshot_2014-09-26_16.13.32.png,ok,,,ok,1,,ok
,Gesture recognition,Reconhecimento Gestual,Enables humans to interface with the machine and interact naturally without any mechanical devices.,Permite que pessoas interajam com máquinas de maneira mais natural sem a necessidade de outros dispositivos.,,http://i.huffpost.com/gen/1979598/thumbs/o-MINORITY-REPORT-facebook.jpg,ok,ok,,ok,1,,?
,Graphene,Grafeno,"A substance composed of pure carbon with atoms arranged in a regular hexagonal pattern similar to graphite, but in a one-atom thick sheet. The material is incredibly light yet strong.","Uma substância composta de carbono puro com átomos acomodados em um padrão hexagonal similar ao do grafite, mas em uma única fileira de átomos. O material é incrivelmente leve, maleável e forte.",,,ok,ok,,,,,
,GSM M2M protocols,,"GSM operation for M2M, to define a set of GSM based embedded modules that address operational issues, such as module design, radio interface, remote management, UICC provisioning and au- thentication, and basic elements costs. Also define use-cases in vertical markets: health, utilities, auto- motive, and consumer devices.",,,,,,,,,,ok
,Handlebar navigation,,"Navigation system that points out the way with flashing LED lights. Just choose a route on an accompanying app, and the device gives you a signal as you approach intersections.",Sistema de navegação que aponta o caminho mediante luzes de LED. Basta escolher uma rota em um aplicativo compatível  e o dispositivo sinaliza quando você esta próximo de um cruzamentos.,,,ok,ok,,,,,
,Haptics,Háptica,"A tactile feedback technology that takes advantage of a user's sense of touch by applying forces, vibrations, or motions to the user.","Uma tecnologia de feedback táctil que aproveita o sentido do tato do usuário mediante a aplicação de força, vibrações ou movimentos.",,,ok,ok,,,,,
,Health Desks,Mesas Saudáveis,"Furniture designs that promote activity that not only improve the health of those who use them, but can also increase the user’s productivity by giving them more energy to accomplish their tasks.","Móveis e espaços que promovem atividade física, melhorando a saúde de quem os usa e aumentando a produtividade do usuário.",,,ok,ok,,ok,,,
,High-altitude platforms,Plataformas De Alta Altitude,A quasi-stationary aircraft that provides means of delivering a service to a large area while staying thousands of feet above in the air for years.,"Uma aeronave quase estacionária que visa prover serviços a uma grande área enquanto permanece no ar por anos, a milhares de metros acima.",,,ok,ok,,,,,
,High-resolution fMRI,Fmri De Alta Resolução,The next generation of functional Magnetic Resonance Imaging involves increasing the spatial and temporal resolution of the imagery. We are likely to see a 14-tesla machines becoming common (as opposed to today’s 3-tesla).,A próxima geração de ressonância magnética funcional procura aumentar a resolução espacial e temporal das imagens. Estamos prestes a ver uma máquina de 14-tesla como algo comum (ao contrário das maquinas 3-tesla de hoje).,,,ok,ok,,,,,
,Holoroom,,"New breed of augmented reality devices help customers to imagine home improvements using 3D simulations, providing an intuitive and immersive experience. Hologram spaces can be modified at any time, giving customers the opportunity of designing and making choices on the fly. ",,,https://trello-attachments.s3.amazonaws.com/543ff9a6a2eb7a26c1ab3e61/580x326/62231e6c7b29745a1977e7d08b1235b7/holoroom-pad.jpg,,,,,,,
,Home fuel cell,Células De Combustivel Caseira,"Alternative energy technology that increases efficiency by simultaneously generating power and heat from one unit, on-site within a home.","Uma tecnologia alternativa de energia que aumenta a eficiência gerando  simultaneamente energia e calor a partir de uma unidade, dentro da sua casa.",,,ok,ok,,,,,
,Hydrogen energy storage & transport,Armazenagem & Transporte De Energia Do Hidrogénio ,"Hypothetic evolution of existing power grids, transporting and storing hydrogen instead of electricity. Could be used in combination with various kinds of energy transformation methods, minimizing loss and maximizing storage capacity.","Evolução hipotética de redes de energia existente, para transporte e armazenagem de hidrogênio ao invés eletricidade. Poderia ser usado em combinação com vários métodos de transformação de energia, minimizando perdas e maximizando a capacidade de armazenamento.",,,ok,ok,,,,,
,Hydrogen Powered Rail,Ferrovias Movidas a Hidrogênio,"While much of the of rail in the future will be powered by electricity, several groups are working with hydrogen-powered alternatives. The fuel cell is used both to power the permanent magnet electric motors and to charge the batteries.","Enquanto a maioria das ferrovias no futuro serão alimentadas por eletricidade, muitos grupos estão trabalhando em alternativas energéticas baseadas em hidrogênio. A célula de energia é usada tanto para abastecer permanentemente motores eletrônicos magnéticos quanto para carregar baterias.",,,ok,ok,,,,,
,Hyperscale Networking,,Hyperscale Networking refers to the facilities and provisioning required in distributed computing environments to efficiently scale from a few servers to thousands of servers. Is usually used in environments such as big data and cloud computing,,ok,,,,,,,,ok
,Implantable technologies,Tecnologias Implantáveis ,"Also referred to as ""embeddable,"" technology refers to a class of objects that can be inserted directly into the human body to modify, enhance or heal in ways that non-embedded devices cannot. ",,,,ok,,,ok,1,,
,In-vitro meat,Carne In-Vitro,"An animal flesh product that has never been part of a complete, living animal. Aka ""laboratory-grown"" meat.",Carne animal que nunca foi parte de um ser vivo completo. Também é conhecida como carne produzida em laboratório.,,,ok,ok,,,1,,
,Indoor Positioning System,Sistemas De Posicionamento Indoor,A network of devices used to wirelessly locate objects or people inside a buildings and venues.,Uma rede de dispositivos usados para localizar objetos ou pessoas via wireless dentro de prédios e avenidas.,,,ok,ok,,ok,,,
,Inductive chargers,Carregadores Inductivos,Uses the electromagnetic field to transfer energy between two objects.,Utiliza campos eletromagnéticos para transferia energia entre dois objetos.,,,ok,ok,,ok,,,
,Indyeconomies,Nanoeconomias,"Decentralized currency systems entirely detached from existing currency systems, which are the result of a shared belief of value, such as fiat or commodities.","Sistemas monetários descentralizados inteiramente independentes dos sistemas existentes, que são o resultado de uma crença compartilhada sobre valores, como a moeda fiduciária ou commodities.",,https://www.dropbox.com/s/gh7rlk61av65z7n/Nanoeconomies.jpg?dl=1,ok,ok,ok,,,,
,Inertial conﬁnement fusion,Fusão De Confinamento Inercial,"An approach to fusion that relies on the inertia of the fuel mass to provide conﬁnement. To achieve the perfect conditions, a capsule (generally a spherical shell) containing thermonuclear fuel is compressed in an implosion process to conditions of high density and temperature.","Uma abordagem para fusão que depende da inércia da massa de combustível para fornecer o confinamento necessario. Para alcançar as condições perfeitas, uma cápsula (geralmente uma concha esférica) contendo combustível termonuclear é comprimido em um processo de implosão em condições de alta densidade e temperatura.",,,ok,ok,,,,,
,Infrastructural health sensors,Sensores De Avaliação De Infraestrutura,"Monitors vibrations and material conditions in buildings, bridges, factories, farms and other infrastructure. Coupled with an intelligent network could feed crucial information back to maintenance crews or robots.","Monitoram vibrações e condições materiais em prédios, pontes, fábricas, fazendas e outras infraestruturas. Em conjunto com uma rede inteligente, poderão fornecer informações cruciais para grupos ou robôs de manutenção.",,https://www.dropbox.com/s/1vh8l06t9ngkq38/Infrastructural%20Health%20Sensors.jpg?dl=1,ok,ok,,,,,
,Ingestible Sensors ,Sensores Digestíveis,"Digital devices with tiny sensors that you swallow for gathering and storing data, transmitting body temperature, heart and respiration rate to an external device. ","Dispositivos digitais com pequenos sensores que coletam, armazenam e transmitem dados biométricos para dispositivos externos. Isto permite o monitoramento contínuo dos sinais vitais.",ok,https://www.dropbox.com/s/w64b4wosp3bth44/Ingestibles%20Sensors%20.jpg?dl=1,ok,,,,1,,ok
,Insect Drones,,"The robotic insect can effortlessly infiltrate urban areas, where dense concentrations of buildings and people, along with unpredictable winds and other obstacles make it impractical.","Os insetos robôs podem se infiltrar facilmente em regiões urbanas, onde grandes concetrações de prédios e pessoas, junto com ventos imprevisíveis e outros obstáculos, podem se tornar pouco práticos.",,https://www.dropbox.com/s/vlnt8897adilby3/Insect%20Drones.jpg?dl=1,ok,,,ok,,,
,Instant disease screening,Rastreio De Doenças Instantaneo,"Handheld diagnostic lab the size of a smartphone. A single drop of blood or saliva can be used to identify DNA irregularities that indicate the presence of cancer, deadly viruses, and other diseases.",,,https://trello-attachments.s3.amazonaws.com/5446bf2a1deb78b68fbc6ceb/970x1142/c168516e9efaaf5c64294c7b16607892/tech_innovation51__01__970.jpg,ok,,,,1,,
,Intention economy,,Consumers guide the market by directly signaling their intentions of future purchases.,,,http://images.fastcompany.com/upload/inline-Becoming-Part-Of-The-Intention-Economy.jpg,,,ok,,,,
,Interactive Books,Livros Interativos,"Interactive books for mobile or tablets with swipeable video and graphics, games and data visualizations in order to increase content absorption","Livros interativos para leitores móveis como tablets e celulares, com videos e graficos, games e visualizações de dados, a fim de aumentar a absorção de conteúdo 
",ok,,,,,ok,,,ok
,Interactive whiteboard,Lousas Interativas,"A large interactive display that connects to a computer. It projects the computer'sdesktop onto the board's surface where users control the computer using a pen, finger, stylus, or other device.","Um display grande e interativo que se conecta a um computador. Ele projeta o desktop do PC na superfície do quadro onde os usuários podem controlar o computador usando uma caneta, os dedos our outros tipos de dispositivos.",,,,,,ok,,,
,IPV6,Ipv6,"The future of internet connectivity, enabling trillions of trillions (3.4×10^38) of devices to go online.","O futuro de conectividade da internet, possibilitando trilhões de trilhões  (3.4×10^38) de dispositivos online.",,http://ipug.tv/wp-content/uploads/max-speed.jpg,ok,ok,,,,,ok
,IT planning,,"Information Technology Planning is concerned with making the planning process for IT investments and decision-making a quicker, more flexible, and more thoroughly aligned process",,ok,,,,,,,,ok
,Labs-On-Chips,Laboratórios Em Chips,"Devices that integrates one or several laboratory functions on a single chip of only millimeters to a few square centimeters in size. LOCs deal with the handling of extremely small fluid volumes down to less than picoliters. They represent safer platforms for chemical, radioactive or biological studies.","Dispositivos que integram uma ou várias funções de laboratório em um único chip, com um tamanho que vai de milímetros a alguns centímetros quadrados. Laboratórios em chips usam volumes baixíssimos de fluidos e também são plataformas mais seguras para estudos químicos, radioativos e biológicos.",,,ok,ok,,ok,1,,
,Large-scale multitouch,Multitouch Em Larga Escala,Plural-point awareness of a surface. Often used to implement advanced functionality such as pinch to zoom or activating predefined programs.,"Capacidade de uma superfície de detecção de toque de reconhecer a presença de dois ou mais pontos de contato. Muitas vezes utilizado para implementar funcionalidades avançadas, como zoom ou para ativar programas pré-definidos.",,https://www.dropbox.com/s/qp6spybgtwte7nr/Large-scale%20multitouch.jpg?dl=1,ok,ok,,ok,,,
,Large-scale self-assembling materials,Materiais Automontáveis Em Larga Escala,"A process in which a disordered system of pre-existing components forms an organized structure as a consequence of speciﬁc, local interactions among the components themselves, without external direction. Such materials could potentially heal themselves and grow/contract on cue.","Um processo pelo qual um sistema pré-existentes de componentes desordenados formam uma estrutura organizada como consequência interações específicas entre os próprios componentes, sem influência externa. Potencialmente, esses materiais poderiam se ""curar"" e crescer de forma imediata.",,,ok,ok,,ok,,,
,Laser communications,Comunicações a Laser ,"Transmit high amounts of data and voice that is hard to detect and an alternative to traditional radio frequencies. Interest in the technology is also growing in the private sector, which may bring down costs for end users.",,,https://trello-attachments.s3.amazonaws.com/5446c9d7dbc1ea3d82009e31/500x307/2c0ff4334384a241e6705331ce9a9d32/Comms_2014.jpg,ok,,,,,,ok
,Learning analytics,Analytics Para Aprendizado,"Combines tracking with student interaction in online education tools, aiming to create a more integrated and customized learning experience.",Combina as interações do estudante nas ferramentas educacionais online com rastreamento com o intuito de criar uma experiência de aprendizado mais integrada e customizada.,ok,,,,,ok,,,ok
,Learning simulations,,"Experience designed to rigorously help users develop competences. It's a combination of modeling elements, entertainment elements, and pedagogical elements.",,,,,,,ok,,,
,Learning tool programs,Softwares De Aprendizado,Open networks and learning tools that are embedded within software programs seek to fill the need for ongoing education.,Redes abertas de ferramentas de aprendizado procuram preencher a necessidade de educação continuada.,,,ok,ok,,ok,,,
,Lithium-air batteries,Baterias De Lítio-Ar,"Advances in materials technology is enabling the advance of high energy Li-air batteries which promise an energy density that rivals gasoline, oﬀering a ﬁve-fold increase compared to traditional Li-Ion batteries. By using atmospheric oxygen instead of an internal oxidizer, these batteries could dramatically extend electric vehicle range.","Os avanços na tecnologia de materiais estão permitindo a melhoria das baterias de lítio-ar que prometem uma densidade de energia que equivale à da gasolina, oferecendo 5x aumento em comparação com as baterias tradicionais de ião lítio. Ao usar o oxigênio atmosférico ao invés de um oxidante interno, essas baterias poderiam estender dramaticamente a autonomia dos veículos elétricos.",,,ok,ok,,,,,
,Live video devices,,"Devices that allows continual broadcast of events in a person's life through digital media. Typically, lifecasting is transmitted through the medium of the Internet and can involve wearable technology",,ok,,,,,,,,ok
,Livestock biometrics,Biometria Pecuária,"Collars with GPS, RFID and biometrics can automatically identify and relay vital information about the livestock in real time.","Colares com GPS, RFID e biometrias podem identificar automaticamente e transmitir, em tempo real, informações importante sobre o gado.",,https://www.dropbox.com/s/9i9cpwgvwqlcvwa/Livestock%20Biometrics.jpg?dl=1,ok,ok,,,,,
,LOCATION AS A LAYER,,"A smartphone’s location capabilities can provide context and increased security for customer. Further, a location services can check you into registered locations, and transactions can be made after you give the merchant your name.",,,http://www.yourgadgetguide.net/wp-content/themes/algarida/timthumb.php?src=http://www.yourgadgetguide.net/wp-content/uploads/2012/05/ishot-1884.png&w=1200&a=c,,,ok,,,,
,Long-range wireless charging,Carregador Wireless De Grande Alcance,"Wireless charging already exists, but you still have to get your device close to the charger for it to work. With a new system you might not even have to take the phone out of your pocket to charge it, the device would simply detect the phone and project a cone of energy toward it to connect.",,,https://trello-attachments.s3.amazonaws.com/5446be4152f8263c30132abc/640x353/223f3815ecd2f7c32acb60a4fcc13e8e/Coils-640x353.jpg,ok,,,,1,,
,next-gen M2M communications,,"Connects and enables an array of equipment from mainframes to everyday products (e.g., home appliances, vehicles, buildings) in order to unleash new levels of ""smart services"" and commerce. ",,ok,,,,,,,,ok
,Low Power Semiconductors,,,,,,,,,,,,ok
,Low-Latency Networks,,"For high frequency trading and other high-speed transactional applications, a millisecond delay can cost millions. To serve today’s financial and other latency-sensitive enterprise applications, service providers must be able to deliver network connectivity with super-low latency and rock-solid availability.",,ok,,,,,,,,ok
,Machine translation,Tradução Automatizada,Translate text or speech from one natural language to another.,Traduz textos ou conversas de uma língua para outra de forma natural.,,https://www.dropbox.com/s/mtbv9lxcmss26al/Machine%20Translation.jpg?dl=1,ok,ok,,ok,,,
,Machine vision,Visão Automatizada,"Provide imaging-based automatic inspection, process control and robot guidance in industrial applications.","Fornece imagens baseadas em inspeções automáticas, realizando controle e guia para robôs em aplicações industriais.",,https://www.dropbox.com/s/jgpunxgjpq08bxw/Machine%20Vision.jpg?dl=1,ok,ok,,ok,,,
,Machine-augmented cognition,Cognição Aumentada Artificialmente,Refers to the effective use of information technology to augment human cognition using intelligence amplifying system of tools. Information retrieved from the brain would then be used to feedback necessary stimulus to accomplish determined brain functions.,Refere-se ao uso efetivo de tecnologia da informação para o aumento de cognição ao usar ferramentas de sistemas de inteligência ampliada. Informações retiradas do cérebro são então usadas para dar feedback e estímulos necessários para melhorar funções do cérebro.,,https://www.dropbox.com/s/zqtnuqykqi3r2e5/Machine-augmented%20Cognition.jpg?dl=1,ok,ok,,ok,,,
,Macroscale 3D printers,Impressora 3D De Macroescala,"Enables shaping materials at large scale. Could print houses, bicycles or artwork.","Permitem protótipos em larga escala. Podem imprimir casas, bicicletas ou mesmo obras de arte.",,https://www.dropbox.com/s/07juk414uk5ifmw/IMPRESSORAS%203D%20DE%20MACROESCALA.jpg?dl=1,ok,ok,,,,,
,Magic mirror,Espelho Mágico,Shows how an outfit will fit through an augmented reality system.,Mostra como uma roupa servirá através de um sistema de realidade aumentada.,,https://www.dropbox.com/s/v0npfe177ydqx82/Magic%20Mirror.jpg?dl=1,ok,ok,,,1,,
,Magnetic Levitating Gear,,Magnetic levitation gears makes lubrication unnecessary allowing less friction between the mechanical parts using magnetic forces. Applications can go from space exploration vehicles to railroad and aircraft industries.,,,https://trello-attachments.s3.amazonaws.com/547cf79790ee57618f57988a/693x388/783900a779eb68b9574ed1c7d3793640/2734251.jpg,,,,,,,
,Manufacturing on Demand,Fabricação Sob Demanda,"Nothing is done until the order is paid by the customer. This means zero inventory of physical goods, just a virtual inventory of resources used to make the products.","Nada é feito até que o pedido seja pago pelo cliente. Isto significa zero inventário de bens físicos, apenas um estoque virtual de recursos usados para fazer os produtos.",,https://www.dropbox.com/s/mb4wi94yfeggq78/Fabrica%C3%A7%C3%A3o%20sob%20demanda.jpg?dl=1,ok,ok,,,,,
,MBaaS,,"Mobile Backend as a service is a model for providing web and mobile app developers with a way to link their applications to backend cloud storage and APIs exposed by back end applications while also providing features such as user management, push notifications, and integration with social networking services.",,ok,,,,,,,,ok
,Medical nanobots,Nanobots Médicos,"A subfield of robotics that studies how to make robots that emulate living biological organisms/functions mechanically or chemically. The main objective of this technology applied to medicine is to enhance the human body's capabilities or treat malfunctions with robots capable of re-programming and adapt to different conditions, always mimicking organic functions.","Emulam organismos biológicos de forma mecânica ou química. Podem ser usados para melhorar ou tratar funções do corpo ao imitarem sistemas orgânicos, reprogramando e adaptando-os a diferentes condições.",,https://www.dropbox.com/s/4zxu4dvjqbixo49/Medical%20Nanobots.jpg?dl=1,ok,ok,,,1,,
,Medical tricorder,Tricorder Médico,Portable scanning devices used to self-diagnose medical conditions within seconds and take basic vital measurements.,"Dispositivos portáteis de escaneamento usados para captar, em segundos, sinais vitais básicos e auxiliar no auto diagnostico de condições médicas.",,https://www.dropbox.com/s/cey4w2s712ycc1e/Medical%20tricorder.jpg?dl=1,ok,ok,,ok,,,ok
,Memory implants,Implantes De Memória,Restore the ability to create long-term memories by implanting chips,Restabelecer a habilidade de criar memórias de longo prazo mediante a implantação de chips.,,https://www.dropbox.com/s/15saf1s2s4rua1q/Memory%20Implants.jpeg?dl=1,ok,ok,,ok,,,
,Memristors,Memristor,A circuit that retains memory without power. It is a new material that promises computers two orders of magnitude more eﬃcient from a power perspective than traditional transistor technologies.,A razão pela qual o memristor é tão diferentes dos outros três elementos básicos do circuito é que ela armazena memória sem energia. É um novo material que promete melhorar a eficiência das computadores em duas ordens de magnitude do ponto de vista de energia.,,http://3.bp.blogspot.com/__vpE9od-E1A/TU2JzBB54mI/AAAAAAAAAJw/Ub79pqHuaic/s1600/nist_memristor_420.jpg,ok,ok,,ok,,,
,Mesh networking,Mesh Networking,A network topology in which each node relays data for the network.,"Uma topologia de rede composta de vários nós/roteadores, que passam a se comportar como uma única e grande rede, possibilitando que o cliente se conecte em qualquer um destes nós. Possuem a vantagem de serem redes de baixo custo, fácil implantação e bastante tolerantes a falhas.",,https://www.dropbox.com/s/4miynj2th5ifq3n/Mesh%20Networking.jpg?dl=1,ok,ok,,,,,ok
,Metal-organic Graphene Analogue,Metal-Organic Grafeno Analógica,"Alternative to graphene, that has the added bonus of self-assembly and a necessary bandgap","Alternativa para o grafeno, que tem a vantagem adicional de auto-montagem e com o gap de energia necessário (bandgap).",,,ok,ok,,,,,
,Metamaterials,Metamateriais,"Materials with a precise shape, geometry and arrangement which can aﬀect light and sound in unconventional manners. Potential applications iclude  smart solar power management, public safety, improving ultrasonic sensors, and even shielding structures from earthquakes.","Materiais com forma, geometria e arranjo de precisão que pode afetar a luz e o som de maneiras não convencionais. As aplicações potenciais incluem monitoramento de infra-estrutura, gestão de energia solar inteligente, segurança pública, melhoria nos sensores ultra-sônicos, e proteção das estruturas contra terremotos.",,https://www.dropbox.com/s/cf86o2o8vejaxpc/Metamaterials.jpg?dl=0,ok,ok,,ok,,,
,Metamaterials surface antenna,,More efficient and compact alternative to conventional satellite antennas.,,ok,,,,,,,,ok
